Servicio,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Metropolitano Occidente,500242,5524,5001,4803,4726,4688,4803,5407,5323,5567,7403,10132,9291,9168,9389,9688,10740,10952,11568,11474,11589,11213,10560,10464,11029,11077,11244,10314,9977,9830,9566,11455,14868,16526,15704,14310,12011,11894,12351,10826,11116,11440,10399,9265,9793,9514,9888,9120,8392,7808,7119,7146,6787
Metropolitano Central,168093,1834,1559,1612,1615,1662,1766,1858,1935,2027,2540,3450,3007,3122,3343,3283,3773,3761,3775,3699,3862,3550,3318,3354,3619,3692,3959,3621,3546,3412,3381,3905,5013,5681,5160,4814,4027,3901,3859,3643,3729,3814,3592,3207,3103,3106,3376,3016,2843,2577,2341,2245,2206
Metropolitano Oriente,165523,1783,1659,1426,1456,1478,1541,1557,1586,1724,2198,3237,2731,2766,2872,3120,3447,3618,3585,3696,3516,3231,3291,3576,3680,3795,4414,3968,3742,3592,3590,4015,4917,5416,5388,4939,3735,3682,3964,3518,3641,3981,3543,3373,3280,3256,3190,3175,2871,2709,2419,2278,2358
Metropolitano Sur,430472,5132,4614,4395,4247,4192,4406,4845,4800,5173,6556,8813,7665,8010,8215,8551,9593,9653,9731,9796,9785,9366,8855,8891,9076,8998,9402,8934,9226,9207,9343,10154,12927,14101,13495,12209,9762,9305,10311,9347,9179,9594,8492,8244,7968,8067,8159,8060,7345,6736,6040,5941,5566
Metropolitano Suroriente,483699,5442,5104,4761,4862,4813,4808,4963,5054,5313,7108,9687,8816,9025,9567,9964,11152,11373,10956,10973,10741,10194,10001,10534,10926,11082,11241,10537,10706,10303,10375,11660,14442,16137,14985,13372,10738,10378,10789,9556,9957,10661,9714,9252,9290,9032,9340,8990,8283,7483,6588,6392,6279
Libertador B. O'Higgins,252563,2934,2699,2434,2377,2396,2513,2692,2840,2919,3758,5484,4451,4546,4366,4655,4860,5105,5119,5403,5161,5161,4805,4544,4548,4720,4818,4420,4856,4532,4291,5042,6749,8296,8453,7889,7059,6752,7150,6580,6288,6511,5921,5641,5691,5419,5419,4722,4556,4385,3796,3562,3275
Del Maule,379792,4287,3498,3515,3293,3385,3860,4613,4660,4738,6107,8105,6933,6721,6537,7310,7474,7788,8147,8428,8171,7624,7566,7071,7390,7606,7269,6996,7098,6541,6136,7645,10540,12499,13016,12273,11518,10946,11658,9719,9682,9690,8484,7808,7760,7139,7222,6774,6252,6014,5020,4770,4496
Ñuble,136950,1673,1354,1167,1195,1274,1282,1355,1494,1498,2078,2757,2672,2591,2619,2451,2893,2856,2818,2939,2729,2684,2256,2192,2209,2414,2568,2463,2639,2547,2286,2807,3695,4300,3922,3583,3679,3754,4079,3845,4032,3903,3557,3286,3048,2947,2888,2891,2628,2462,2158,1818,1715
Concepción,302862,3532,3033,2753,2429,2573,2864,3193,3408,3277,4540,6238,5654,5260,4840,5077,6072,6005,6411,6219,5775,5867,5305,5395,6898,7868,8705,7771,7073,5780,4449,4331,6152,7743,7867,7768,8220,8167,8899,7741,8153,8479,7874,7572,7281,6924,6732,6361,5568,5116,4367,3828,3455
Talcahuano,184973,2166,1885,1762,1638,1650,1750,2047,2168,2137,2861,4201,3761,3554,3238,3401,3892,3901,4048,3869,3746,3509,3158,3408,3775,4288,4683,4553,4429,3494,2692,2535,4038,5053,4857,4900,4840,4830,5324,4660,4824,5073,4781,4288,4220,3908,3766,3781,3222,3075,2681,2502,2151
Bíobío,181471,2137,1840,1699,1713,1752,1834,2030,1951,2030,2816,4199,4215,3812,3460,3578,3682,3704,4059,4032,3961,3801,3237,3163,3462,3610,3587,3543,3799,3620,3090,3097,4508,5520,5619,5273,5114,5171,5462,4694,4747,3635,2979,3571,3878,3665,3574,3634,3231,3272,2632,2478,2301
Araucanía Sur,94007,1051,996,766,847,938,929,936,810,1032,1352,1849,1669,1659,1370,1542,1828,1697,1737,1809,1709,1645,1645,1616,1744,1884,2051,2304,2390,2110,1746,1870,2613,3215,3039,2933,2981,2890,2765,2427,2365,2357,1855,2022,2014,1792,1899,1813,1659,1646,1413,1397,1381
Valdivia,174000,2007,1783,1581,1524,1343,1558,1821,1861,1939,2731,3777,3831,3086,2883,2808,3477,3389,3557,3522,3315,3505,2910,2907,3091,3044,2979,3060,3108,2869,2682,3257,4687,5986,6115,5812,5301,5060,5449,4663,4674,4588,4419,4248,3884,3620,3458,3563,3261,2973,2602,2335,2097
Osorno,95273,938,886,698,707,707,774,888,844,878,1398,2140,2052,1802,1720,1750,2176,2253,2139,2008,1723,1788,1655,1770,1743,1740,1740,1820,1733,1585,1437,1933,2683,3340,3061,2972,3019,2840,3169,2816,2557,2476,2251,2024,1969,1891,1960,1766,1630,1591,1431,1263,1139
Del Reloncaví,173199,1817,1597,1479,1287,1275,1545,1663,1802,1869,2683,3551,3919,3371,2986,2935,3176,3184,3251,3209,3335,3378,3157,3262,3471,3692,3564,3289,2929,2628,2216,2892,4623,5754,5940,5816,5734,5079,5419,4517,4310,4338,3835,5905,3637,3443,3500,3370,3116,3211,2843,2378,2019
Aisén,38730,321,164,261,283,250,288,282,358,317,659,745,743,502,489,365,442,547,621,645,640,552,520,601,721,947,1128,1191,660,758,631,627,819,1269,1344,1228,1201,952,1146,1012,959,1016,1263,1595,1586,1542,1007,712,714,658,533,505,411
Magallanes,57809,636,586,544,536,481,476,515,505,567,1063,1687,1344,1135,1264,1327,1455,1289,1323,1228,1271,1239,1244,1294,1146,1249,1279,1102,1199,1037,946,1005,1631,2511,2409,1706,1254,1107,1282,1319,1383,1407,1257,1195,1000,1038,937,888,874,793,635,609,602
Arauco,71602,865,750,675,606,562,594,638,710,713,1000,1628,1493,1332,1146,1076,1291,1272,1335,1409,1241,1292,1060,1070,1179,1210,1285,1384,1452,1403,1143,1235,1925,2366,2224,2075,2033,2269,2478,2438,2442,2211,1987,1743,1637,1587,1442,1442,1404,1226,985,831,808
Araucanía Norte,117981,1283,1120,943,967,948,1027,1106,1029,1237,1922,2633,2531,2452,2181,1979,2357,2177,2444,2414,2238,2335,2028,1989,2216,2468,2390,2462,2616,2317,1976,2282,3042,3866,3717,3613,3208,3222,3790,3456,3430,3197,2881,2583,2310,2198,2209,2305,2222,2161,1813,1460,1231
Chiloé,63870,723,622,629,614,551,582,666,647,656,1056,1401,1365,1045,1093,1048,1122,1206,1255,1177,1041,1015,1040,1071,1045,1169,1171,1143,1072,918,934,1058,1649,2305,2228,2155,2218,2094,2154,1912,1787,1741,1544,1362,1214,1227,1179,1305,1195,1246,1149,1036,1035
